dataset,label,vm_count,cluster,host_count,last_cpu_config,last_mem_config,sum_cpu_alloc,sum_cpu_config,sum_mem_alloc,sum_mem_config,last_cpu_alloc,last_mem_alloc
ovhcloud2023,oc1:0.5-oc2:0.0-oc3:0.5,500,vcluster,75,32,128,2339,2400,8944,9600,22,68
ovhcloud2023,oc1:0.5-oc2:0.0-oc3:0.5,500,oc1,55,32,128,1727,1760,5473,7040,4,8
ovhcloud2023,oc1:0.5-oc2:0.0-oc3:0.5,500,oc2,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.5-oc2:0.0-oc3:0.5,500,oc3,28,32,128,605,896,3456,3584,4,23
ovhcloud2023,oc1:0.5-oc2:0.0-oc3:0.5,500,ocall,83,32,128,2332,2656,8929,10624,8,31
ovhcloud2023,oc1:0.5-oc2:0.25-oc3:0.25,500,vcluster,81,32,128,2551,2592,9046,10368,6,23
ovhcloud2023,oc1:0.5-oc2:0.25-oc3:0.25,500,oc1,57,32,128,1801,1824,5716,7296,16,42
ovhcloud2023,oc1:0.5-oc2:0.25-oc3:0.25,500,oc2,16,32,128,464,512,1642,2048,0,0
ovhcloud2023,oc1:0.5-oc2:0.25-oc3:0.25,500,oc3,14,32,128,277,448,1673,1792,3,22
ovhcloud2023,oc1:0.5-oc2:0.25-oc3:0.25,500,ocall,87,32,128,2542,2784,9031,11136,19,64
ovhcloud2023,oc1:0.5-oc2:0.5-oc3:0.0,500,vcluster,85,32,128,2674,2720,9237,10880,8,30
ovhcloud2023,oc1:0.5-oc2:0.5-oc3:0.0,500,oc1,56,32,128,1774,1792,5706,7168,18,53
ovhcloud2023,oc1:0.5-oc2:0.5-oc3:0.0,500,oc2,30,32,128,898,960,3516,3840,9,45
ovhcloud2023,oc1:0.5-oc2:0.5-oc3:0.0,500,oc3,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.5-oc2:0.5-oc3:0.0,500,ocall,86,32,128,2672,2752,9222,11008,27,98
ovhcloud2023,oc1:0.75-oc2:0.0-oc3:0.25,500,vcluster,89,32,128,2791,2848,9511,11392,18,51
ovhcloud2023,oc1:0.75-oc2:0.0-oc3:0.25,500,oc1,80,32,128,2484,2560,7834,10240,6,15
ovhcloud2023,oc1:0.75-oc2:0.0-oc3:0.25,500,oc2,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.75-oc2:0.0-oc3:0.25,500,oc3,14,32,128,308,448,1673,1792,8,54
ovhcloud2023,oc1:0.75-oc2:0.0-oc3:0.25,500,ocall,94,32,128,2792,3008,9507,12032,14,69
ovhcloud2023,oc1:0.75-oc2:0.25-oc3:0.0,500,vcluster,97,32,128,3067,3104,9956,12416,16,60
ovhcloud2023,oc1:0.75-oc2:0.25-oc3:0.0,500,oc1,82,32,128,2615,2624,8285,10496,24,89
ovhcloud2023,oc1:0.75-oc2:0.25-oc3:0.0,500,oc2,15,32,128,451,480,1663,1920,18,54
ovhcloud2023,oc1:0.75-oc2:0.25-oc3:0.0,500,oc3,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:0.75-oc2:0.25-oc3:0.0,500,ocall,97,32,128,3066,3104,9948,12416,42,143
ovhcloud2023,oc1:1.0-oc2:0.0-oc3:0.0,500,vcluster,110,32,128,3490,3520,11091,14080,12,45
ovhcloud2023,oc1:1.0-oc2:0.0-oc3:0.0,500,oc1,110,32,128,3490,3520,11091,14080,12,45
ovhcloud2023,oc1:1.0-oc2:0.0-oc3:0.0,500,oc2,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:1.0-oc2:0.0-oc3:0.0,500,oc3,0,0,0,0,0,0,0,0,0
ovhcloud2023,oc1:1.0-oc2:0.0-oc3:0.0,500,ocall,110,32,128,3490,3520,11091,14080,12,45
